geo	AT	BE	BG	CH	CY	CZ	DE	DK	EE	EL	ES	EU27	EU28	FI	FR	HR	HU	IE	IS	IT	LT	LU	LV	MT	NL	NO	ODA	PL	PT	RO	SE	SI	SK	TR	UK
1990	8.1	12	9.2	6.7	8.1	15.9	13.2	10.3	23.4	8.2	5.9	9.4	9.3	11.4	7	4.9	7	9.3	8.5	7.7	9.7	31.5	7.1	5.3	10.7	8.2	1.7	9.9	4.5	7.7	6.7	7.4	11.7	2.6	10.3
1991	8.5	12.2	7.1	6.9	8.6	15	12.6	12.4	21.5	8.1	6.1	9.2	9.2	11	7.4	3.6	6.6	9.4	8.2	7.7	10.2	32.5	6.6	5.7	10.9	7.9	1.7	9.8	4.7	6.3	6.7	6.9	10.1	2.6	10.4
1992	7.7	12	6.7	6.8	9	13.6	11.9	11.2	15.6	8.2	6.3	8.9	8.8	10.8	7.2	3.6	6	9.3	8.5	7.6	5.7	31.4	5.3	6	10.7	8	1.7	9.5	5.1	5.8	6.6	6.9	9.2	2.7	10.1
1993	7.7	11.8	6.9	6.3	9.2	13.2	11.7	11.6	12.4	8	6.1	8.7	8.6	11.1	6.8	3.8	6.1	9.3	8.9	7.5	4.4	31.3	4.5	5.9	10.9	8.3	1.7	9.5	5	5.4	6.6	7.1	8.7	2.8	9.8
1994	7.7	12.2	6.7	6.2	9.4	12.3	11.5	12.4	13.3	8.2	6.4	8.6	8.6	12.1	6.8	3.6	5.9	9.6	8.6	7.4	4.3	28.9	4	6.2	10.9	8.7	1.7	9.3	5.1	5.3	6.8	7.1	8.2	2.7	9.7
1995	8.1	12.3	6.9	6.2	9	12.5	11.4	11.7	12.4	8.2	6.7	8.7	8.7	11.4	6.9	3.7	5.9	9.8	8.7	7.8	4.1	22.7	3.6	6	11.1	8.7	1.7	9.4	5.4	5.6	6.7	7.6	8.3	2.8	9.5
1996	8.5	12.7	7	6.3	9.3	12.9	11.6	14.2	13.1	8.3	6.4	8.9	8.9	12.5	7.1	3.9	6.1	10.2	9	7.7	4.4	22.5	3.7	6.1	11.5	9.4	1.8	9.7	5.2	5.7	7.1	7.9	8.4	3.1	9.9
1997	8.4	12.1	6.7	6.1	9.3	12.6	11.3	12.3	13	8.7	6.7	8.7	8.7	12.2	6.9	4.2	6	10.5	9.3	7.8	4.2	20.5	3.5	6	11	9.4	1.8	9.5	5.4	5.3	6.5	8.1	8.2	3.2	9.4
1998	8.4	12.7	6.4	6.3	9.7	12	11.2	11.5	12	9.1	6.9	8.6	8.6	11.5	7.3	4.3	5.9	10.9	9.2	8	4.5	18.2	3.4	6	11.1	9.4	1.8	8.8	5.9	4.6	6.6	7.9	8.1	3.2	9.5
1999	8.2	12.1	5.6	6.3	9.9	11.3	10.8	11	11.3	9	7.4	8.5	8.5	11.4	7.1	4.5	6	11.2	9.8	8.1	3.8	18.9	3.2	6.2	10.7	9.5	1.7	8.5	6.6	3.9	6.2	7.6	8	3.1	9.3
