geo	rate	country																																	UK
1990	5.9	Spain																																	10.3
1991	6.1	Spain																																	10.4
1992	6.3	Spain																																	10.1
1993	6.1	Spain																																	9.8
1994	6.4	Spain																																	9.7
1995	6.7	Spain																																	9.5
1996	6.4	Spain																																	9.9
1997	6.7	Spain																																	9.4
1998	6.9	Spain																																	9.5
1999	7.4	Spain																																	9.3
2000	7.7	Spain																																	9.4
2001	7.6	Spain																																	9.6
2002	8	Spain																																	9.3
2003	8	Spain																																	9.4
2004	8.2	Spain																																	9.4
2005	8.4	Spain																																	9.3
2006	8.1	Spain																																	9.2
2007	8.1	Spain																																	9
2008	7.3	Spain																																	8.7
2009	6.4	Spain																																	7.8
2010	6	Spain																																	8
2011	6	Spain																																	7.3
2012	5.9	Spain																																	7.6
1990	9.3	EU Average																																	
1991	9.2	EU Average																																	
1992	8.8	EU Average																																	
1993	8.6	EU Average																																	
1994	8.6	EU Average																																	
1995	8.7	EU Average																																	
1996	8.9	EU Average																																	
1997	8.7	EU Average																																	
1998	8.6	EU Average																																	
1999	8.5	EU Average																																	
2000	8.5	EU Average																																	
2001	8.6	EU Average																																	
2002	8.6	EU Average																																	
2003	8.7	EU Average																																	
2004	8.7	EU Average																																	
2005	8.6	EU Average																																	
2006	8.6	EU Average																																	
2007	8.5	EU Average																																	
2008	8.2	EU Average																																	
2009	7.5	EU Average																																	
2010	7.8	EU Average																																	
2011	7.5	EU Average																																	
2012	7.4	EU Average																																	
1990	8.5	Iceland																																	
1991	8.2	Iceland																																	
1992	8.5	Iceland																																	
1993	8.9	Iceland																																	
1994	8.6	Iceland																																	
1995	8.7	Iceland																																	
1996	9	Iceland																																	
1997	9.3	Iceland																																	
1998	9.2	Iceland																																	
1999	9.8	Iceland																																	
2000	10	Iceland																																	
2001	9.8	Iceland																																	
2002	10	Iceland																																	
2003	9.9	Iceland																																	
2004	10.1	Iceland																																	
2005	9.7	Iceland																																	
2006	10.1	Iceland																																	
2007	10.7	Iceland																																	
2008	11.4	Iceland																																	
2009	11.2	Iceland																																	
2010	10.8	Iceland																																	
2011	10.5	Iceland																																	
2012	10.4	Iceland																																	
1990	10.3	Union Kingdom																																	
1991	10.4	Union Kingdom																																	
1992	10.1	Union Kingdom																																	
1993	9.8	Union Kingdom																																	
1994	9.7	Union Kingdom																																	
1995	9.5	Union Kingdom																																	
1996	9.9	Union Kingdom																																	
1997	9.4	Union Kingdom																																	
1998	9.5	Union Kingdom																																	
1999	9.3	Union Kingdom																																	
2000	9.4	Union Kingdom																																	
2001	9.6	Union Kingdom																																	
2002	9.3	Union Kingdom																																	
2003	9.4	Union Kingdom																																	
2004	9.4	Union Kingdom																																	
2005	9.3	Union Kingdom																																	
2006	9.2	Union Kingdom																																	
2007	9	Union Kingdom																																	
2008	8.7	Union Kingdom																																	
2009	7.8	Union Kingdom																																	
2010	8	Union Kingdom																																	
2011	7.3	Union Kingdom																																	
2012	7.6	Union Kingdom																																	
